"","Periodos","Captaciones_def","Acreedores_def","Interno_def","Externo_def","Otros_def"
"75","2015/09",4665542955.87112,1626273286.9974,255992030.967623,55086425.8354479,1043973533.78099
"76","2015/10",4672362301.58219,1653390201.58439,242053198.519406,58501012.6546681,1070041268.30342
"77","2015/11",4678308498.5919,1637317398.12518,247245990.744223,59474633.822226,1112372141.73053
"78","2015/12",4846625942.22108,1594725093.45392,271907255.982654,88340628.8314451,1005274726.91737
"79","2016/01",4751117143.00209,1580942503.15844,261993913.309926,69121594.7961552,1060530372.83609
"80","2016/02",4725490847.88064,1626452046.51372,254289591.622737,70832557.7330116,1089953808.29353
"81","2016/03",4881782788.1972,1558182844.40582,258958036.843335,118532752.579641,1020833749.58179
"82","2016/04",4890771950.60241,1437605025.3787,289198544.728552,117584231.413315,1054903962.68038
"83","2016/05",4907282709.12582,1380283800.50318,259094097.046938,127585022.199178,1058710034.665
"84","2016/06",4983520273.58838,1184765749.84906,261668903.535352,122914442.719417,1092810164.95512
"85","2016/07",4916394630.67914,1267886026.38401,263607463.854505,84535560.4380335,1082303680.20822
"86","2016/08",4969206764.60435,1211918607.05645,258203602.75452,82479209.1131174,1125731036.56969
"87","2016/09",4950980040.50782,1253048407.55831,277500567.403064,74074257.09813,1041257038.19939
"88","2016/10",4934945094.10113,1314681352.59553,271099973.221744,74653317.4117115,1040603830.35335
"89","2016/11",4980147499.25156,1320453225.27313,290975278.535199,73899890.5706481,1138263739.08979
"90","2016/12",5056738813.9463,1225852000.1264,307692061.170762,96875763.4004432,1066608526.14929
"91","2017/01",4937317864.99304,1240276081.71385,290630576.930259,80906415.8331398,1033346254.02252
"92","2017/02",4936171622.26368,1212066564.17429,279209104.590223,78287282.7340176,986577225.782637
"93","2017/03",4955793343.43351,1289528021.77197,274684444.856488,64610260.4541544,911909812.505753
"94","2017/04",5104846912.03075,1367548962.40997,289463774.893546,60663543.9140108,933109770.965293
"95","2017/05",5061341058.1434,1320454448.05151,287040166.455838,64392816.7257097,1112516873.77788
"96","2017/06",5161967682.95573,1229030247.91824,278758147.137734,63206407.4994828,1011804563.15336
"97","2017/07",5147526203.22861,1330012696.05061,276866986.514065,56565166.9390538,948102599.735387
"98","2017/08",5160185976.16064,1328210120.00072,276903015.841543,48570610.6063252,1027711106.24202
"99","2017/09",5255029704.57697,1405633693.07693,288325274.693517,43553691.4561377,985647850.092978
"100","2017/10",5297153751.82488,1348611650.38872,292716678.589433,44255969.8121161,1093530327.35581
