"","Periodos","Consumo_def","Vivienda_def","Empresas_def","Intermediarios_financieros_no_bancarios_Def","Programas_de_reestructura_Def"
"26","2011/08",627261.953995065,544965.4147082,1418548.01392104,46857.4946496925,6295.76703923384
"27","2011/09",638001.391756764,546411.075628464,1459529.0783641,48108.1804020448,6266.70944431302
"28","2011/10",644597.574489467,546742.935781731,1438436.33779582,45372.8312270826,6253.95222062487
"29","2011/11",664017.530374759,548765.392421585,1461263.61633355,46982.0185200276,6242.55200020817
"30","2011/12",665834.220100745,549541.880513524,1494542.16767331,49031.849998866,6250.29705015706
"31","2012/01",667696.912275046,552846.376983979,1464920.8206949,46118.3255346742,6296.95854646682
"32","2012/02",676309.044447978,556072.214340943,1461350.02079098,46416.0007209764,6340.658634794
"33","2012/03",685713.993933438,561089.772100886,1479318.965811,50938.1762127251,6324.39449399335
"34","2012/04",696695.716730912,561789.801240166,1479798.95954623,50685.37830666,6316.55025685069
"35","2012/05",702589.525926603,564504.139771531,1530142.22331449,50408.8887125942,6268.50812103464
"36","2012/06",712119.054465456,566601.209341466,1523885.22638081,51494.7476470462,6233.88044265214
"37","2012/07",726112.02165853,571594.305364993,1530095.4615322,50321.7898181595,6289.13481958537
"38","2012/08",742021.685698977,575684.531969398,1529141.2872361,51504.5111060148,6319.46662833478
"39","2012/09",751383.842127265,579667.699533348,1541763.20259681,53505.5153594102,6326.71854276489
"40","2012/10",762879.797820275,582532.747469381,1549053.8019627,50361.3326655681,6322.05164750152
"41","2012/11",782801.782818818,586581.469650816,1567878.41223309,55557.5876084498,6342.19935348009
"42","2012/12",785399.730013849,593331.869224874,1592323.04393197,53258.8580324579,6377.0030572594
"43","2013/01",786098.982667276,598827.063625348,1581665.96177108,52930.3962614757,6389.43820483654
"44","2013/02",787440.370697686,598793.20545252,1589698.1786162,49689.4214258371,0
"45","2013/03",793306.258952633,604122.775375063,1582141.50822851,52893.4980918929,0
"46","2013/04",801860.548931837,608576.492849689,1596678.9092587,53697.6683002602,0
"47","2013/05",808505.364424372,615385.01475784,1614379.42195891,50193.6076312724,0
"48","2013/06",817240.885819951,612373.296310236,1618722.53590683,53060.9177531754,0
"49","2013/07",831389.663918039,620499.257849081,1631602.29877293,51196.4822648403,0
"50","2013/08",845383.827858873,627474.813266506,1658085.69884964,49348.4637453642,0
"51","2013/09",847170.567194403,630056.528410495,1650071.59113962,49985.6784709942,0
"52","2013/10",854459.563812679,632373.584265656,1669830.37868985,47021.9580850776,0
"53","2013/11",871299.076074796,639530.54895652,1687711.06458041,50333.7905941787,0
"54","2013/12",858638.238901038,655528.79766471,1703957.23478522,57746.8766789314,0
"55","2014/01",849636.603830049,657781.21980751,1678246.51957727,54972.7527461466,0
"56","2014/02",846935.142853587,656657.796740053,1662184.99181932,53369.1066122909,0
"57","2014/03",848716.617591136,666624.637740466,1659560.71592224,53824.8857525786,0
"58","2014/04",853886.433200677,668447.681484409,1671365.987865,51667.8423131756,0
"59","2014/05",857775.861061668,675104.0601152,1708450.5717285,53566.1600989475,0
"60","2014/06",867606.357778427,681019.349626775,1714643.67993775,52596.6073525816,0
"61","2014/07",870425.472585685,676964.832853222,1712611.37317064,52879.7373304271,0
"62","2014/08",878371.377541036,680417.009775419,1716310.30712356,49947.2687345192,0
"63","2014/09",882608.20571397,685442.959675655,1718077.78574236,49070.7542310786,0
"64","2014/10",887181.892622571,691090.152720173,1739546.51819816,50418.0692541969,0
"65","2014/11",900768.033547895,698174.256037096,1766935.85419797,62901.5280335075,0
"66","2014/12",882878.432218457,696076.829632299,1784179.5870853,64392.7954067967,0
"67","2015/01",883386.411308384,706274.89714151,1800849.15946907,63236.8857517884,0
"68","2015/02",883990.731475866,707343.732088563,1789152.17498196,59686.3708869946,0
"69","2015/03",880887.340404868,710289.415951747,1815890.67117519,60425.999131286,0
"70","2015/04",887282.66289279,713985.018677588,1841765.60757529,62193.6150662144,0
"71","2015/05",895524.951177625,721132.470031731,1872886.03222483,69783.6305616874,0
"72","2015/06",898449.263652213,725098.175162876,1857420.15679504,66112.3346598645,0
"73","2015/07",905192.899081948,727361.558335653,1864390.07322415,66721.3766631229,0
"74","2015/08",917641.610026966,730068.072237451,1889862.22134712,72961.7071999789,0
"75","2015/09",923998.283853836,735610.828821235,1939861.04809126,69983.611030715,0
"76","2015/10",935721.903866454,743160.612726053,1949002.28069614,77000.7649435689,0
"77","2015/11",958239.177847705,749471.764563421,1970442.81553296,88207.0842599475,0
"78","2015/12",953703.418592502,754271.748993879,2029140.12096563,85605.4771360764,0
"79","2016/01",948955.201565629,755642.238597336,2091905.54921921,67445.4123638558,0
